conceptId,prefLabelDe,prefLabelEn,altLabelDe,altLabelEn,broaderConcepts
22826400,Versprechen,Promise,Gelöbnis,Vow,22826000
22826500,Gewalt/Strafe/Vergebung,Violence/Punishment/Forgiveness,Gnädig/Gnadenlos,Merciful/Merciless,22826000
22830000,Aktion,Action,Tun,Doing,22800000
22831000,Voraussetzungen zur Aktion,Prerequisite for action,,Conditions for action,22830000
22831100,Fähigkeiten,Capabilities,Fertigkeiten,Skills,22831000
22831200,Art und Weise der Handlung,Way of action,,Type of action,22831000
22831300,Grund der Aktion,Reason for action,Grund der Handlung,Causality,22831000
22831400,Zielrichtung der Aktion,Direction of action,Zielrichtung der Handlung,,22831000
22831500,Handlungsmittel,Means of action,Mittel der Aktion,,22831000
22831600,Möglichkeit,Possibility,,,22831000
22831700,Planung,Planning,List,Plan,22831000
22831800,Vorbereitung,Preparation,,,22831000
22831900,Vorteil/Nachteil,Advantage/Disadvantage,Heil/Schaden,Salvation/Damage,22831000
22832000,Verwirklichung,Realization,Ausführung,Execution,22830000
22833000,Unterstützung/Hinderung,Support/Obstruction,,,22830000
22834000,Ergebnis der Aktion,Result of action,Ergebnis der Handlung,,22830000
22835000,Aktion im Urteil anderer,Action as viewed by others,Handlung im Urteil anderer,,22830000
22900000,Moral,Ethics,Christenlehre,Doctrine of god,22000000
22910000,Pflicht,Obligation,Verantwortung,Responsibility,22900000
22920000,Moralische Eigenschaften/Charaktereigenschaften,Moral traits/Character traits,Charakterzug,Trait of character,22900000
22930000,Ehre/Unehre,Honor/Dishonor,Reputation,Reputation,22900000
23000000,Mensch als soziales Wesen,Human as a social being,,,20000000
23100000,Gesellschaftliches Leben,General social phenomena,,,23000000
23110000,Gesellschaftliche Gruppen,Social groupings,,,23100000
23111000,Größte Gruppierungen,Largest groupings,,,23110000
23111100,Ethnische Einheiten,Ethnic unities,Ethnie,Ethnic group,23111000
23111200,Ethn. Einheit/Volk/Stamm/Namen,Ethnic Community/People/Tribe/Names,,,23111000
23111300,Fantastische Ethnie/Namen,Fantastic Ethnic Community/People/Tribe/Names,,,23111000
23112000,Ehe/Familie,Matrimony/Family,,,23110000
23112100,Familie/Herkunft,Family/Ancestry,Abstammung,Descent,23112000
23112200,Ehe,Marriage,,,23112000
23112300,Verwandtschaft,Kinship,,,23112000
23112400,Taufe,Baptism,,,23112000
23112500,Personennamen/Familiennamen,Given and Family Names,,,23112000
23112501,Sprechende Eigennamen/Namen,Meaningful/Descreptive Names/Names,,,23112500
23112600,Bestattung,Funeral/Cremation,Beerdigung,Death,23112000
23112700,Witwen/Waisen,Widows/Orphans,,,23112000
23113000,Erziehung/Bildung/Allgemein,Upbringing/Education/General,,,23110000
23113200,Formelle Bildung,Formal education,,,23113000
23120000,Kommunikation/Sprache,Communication/Language,,,23100000
23121000,Mündliche Kommunikation,Oral communication,,,23120000
23121100,Eigenschaften der stimmlichen Äußerung,Attributes of vocal expression,Mängel der stimmlichen Äußerung,Deficiencies in vocal expression,23121000
23121200,Stimmlicher Ausdruck,Vocal expression,Mündlicher Ausdruck,Oral expression,23121000
23122000,Schriftliche Kommunikation,Written communication,,,23120000
23122200,Formen der schriftlichen Kommunikation,Forms of written communication,,,23122000
23123000,Einzelsprachen,Individual languages,Fremdsprachen,Foreign languages,23120000
23123100,Lateinisch,Latin,Latein,,23123000
23123200,Französisch,French,,,23123000
23123300,Arabisch,Arabic,,,23123000
23123400,Hebräisch,Hebrew,,,23123000
23123500,Griechisch,Greek,,,23123000
23123600,Slawisch,Slavic,,,23123000
23123610,Tschechisch,Czech,,,23123600
23123700,Persisch,Persian,,,23123000
23123800,Italienisch,Italian,,,23123000
23123900,Spanisch,Spanish,,,23123000
23123901,Ungarisch,Hungarian,,,23123000
23123902,Rätoromanisch,Rhaeto-Romanic,,,23123000
23123903,Englisch,English,,,23123000
23123904,Phönizisch-Punisch,Phoenician-Punic,,,23123000
23123905,Aramäisch,Aramaic,,,23123000
23123909,Jiddisch,Yiddish,,,23123000
23123910,Rotwelsch,Rotwelsch,,,23123000
23124000,Benennung,Denomination,,Naming,23120000
23130000,Gesellschaftliche Beziehungen im Allgemeinen,Social relations in general,,General social relations,23100000
23132000,Etikette/Zeremoniell,Etiquette/Ceremonies,,,23130000
23133000,Hilfeleistung/Widerstand,Assistance/Resistance,Dienst,Service,23130000
23134000,Frauendienst,Service for the ladies,,,23130000
23135000,Feste/Spiel/Unterhaltung,Festivities/Games/Entertainment,,,23130000
23135100,Festlichkeiten/Feiern,Festivities/Celebrate,Feier,Celebration,23135000
23135200,Spiel/Zerstreuung,Games/Distraction,Zeitvertreib,Pastime,23135000
23135210,Schachspiel,Chess,,,23135200
23135220,Spielzeug,Toys,Spielsachen,,23135200
23135230,Andere Spiele,Other games,,,23135200
23135300,Sport,Sports,,,23135000
23135400,Sitten/Gebräuche,Manners/Customs,Bräuche,Traditions,23135000
23200000,Ritterwesen im Allgemeinen,Knighthood in general,Ritterlichkeit,Chivalry,23000000
23220000,Pferd/Reiten,Horse/Riding,,,"14012000,23200000"
23221000,Pferd und Reiten/Namen,Horse and Riding/Names,,,23220000
